Date,Revenue,COGS
2023-02-25,4025328.2936120033,3652441.490803571
2023-02-26,4466036.601534953,4096569.6153899417
2023-02-27,4834996.047718938,4489318.749383631
2023-02-28,4014052.5924984757,3818449.1859889636
2023-03-01,2868278.965142281,2640747.585674981
2023-03-02,1710895.8068064689,1574113.5084644482
2023-03-03,1204297.779352807,1143118.14893204
2023-03-04,1454106.4065014713,1377913.2438954557
2023-03-05,2079567.1157659946,1957140.4902847735
2023-03-06,2618790.630047397,2488650.215681433
2023-03-07,3113914.815852373,2930938.405221678
2023-03-08,3389136.037427361,3212654.995004713
2023-03-09,3483322.0753654577,3305232.2498763013
2023-03-10,3335169.412465223,3216329.017237905
2023-03-11,3460408.021811585,3325305.550472563
2023-03-12,3965210.1538371947,3801310.8935364624
2023-03-13,4242058.989625948,4087256.739633473
2023-03-14,4547336.048003489,4432836.653391717
2023-03-15,4885344.086041203,4679898.348232825
2023-03-16,4853760.54720391,4639153.515724907
2023-03-17,4659535.216828266,4467460.722430395
2023-03-18,4508974.909593377,4498001.031511264
2023-03-19,4673890.7801083345,4631339.90631356
2023-03-20,4906636.73180565,4934270.052547143
2023-03-21,4949304.342418278,5206192.136267993
2023-03-22,5249340.407915721,5504067.6735857185
2023-03-23,5152122.6010983195,5421214.935222428
2023-03-24,4707166.585116973,5010842.07740351
2023-03-25,4589591.534069738,4895856.124816805
2023-03-26,4926547.9610063955,5246107.916359769
2023-03-27,5412682.746606239,5760002.735152193
2023-03-28,6164954.371090064,6589984.073695195
2023-03-29,6485623.069249381,6908746.811291883
2023-03-30,10262753.953298654,10886614.384894608
2023-03-31,9216348.999173276,9782915.297599189
2023-04-01,9327396.41777516,9827774.917438427
2023-04-02,8358653.525357888,8939082.801484615
2023-04-03,7320612.248154113,7710189.3163827015
2023-04-04,2941364.9761338416,3162936.479407669
2023-04-05,3260825.920706201,3508259.650134106
2023-04-06,3156730.4111495223,3399797.504602063
2023-04-07,3229232.7838344574,3428714.655017804
2023-04-08,3280095.0875866516,3474847.7081303596
2023-04-09,3632641.5386307533,3857711.1724121966
2023-04-10,4124157.5804872974,4367560.53353906
2023-04-11,4439810.556493712,4699866.50875801
2023-04-12,4764552.97338699,5041098.289580875
2023-04-13,4649841.302998004,4881865.94009069
2023-04-14,4525119.396054978,4655641.989749302
2023-04-15,4454244.210312533,4532504.961716222
2023-04-16,4862293.624882537,4936123.977450027
2023-04-17,5090128.029847072,4868444.348638962
2023-04-18,5168298.62785042,4933274.732376965
2023-04-19,5304404.589466695,5000185.408370088
2023-04-20,5247909.091140977,4881135.097046614
2023-04-21,4770830.657145699,4488979.417146938
2023-04-22,4739602.046895495,4440612.189389426
2023-04-23,5125190.643296354,4836904.332715553
2023-04-24,5584308.407827347,5220654.716183947
2023-04-25,5869307.777476385,5508262.287749373
2023-04-26,6296481.173942307,5888861.699838234
2023-04-27,6578944.572716445,6156731.865194656
2023-04-28,6582269.741483038,6189500.918148285
2023-04-29,8628506.199096866,8126547.528806526
2023-04-30,8469436.869531887,8121314.159188493
2023-05-01,7861012.838844431,7560799.692631694
2023-05-02,6279094.58299787,6124116.492983591
2023-05-03,5867193.849632884,5606146.261579817
2023-05-04,2926153.774641956,2779945.0445092553
2023-05-05,3006493.127765366,2805006.0246661166
2023-05-06,2938528.070388206,2711283.551302993
2023-05-07,3720040.8295110078,3402810.425756272
2023-05-08,3879048.5244208192,3637114.281736044
2023-05-09,4159819.898656957,3882086.412001805
2023-05-10,4510131.2322879,4235357.193357132
2023-05-11,4771705.568220232,4492667.077250467
2023-05-12,4505164.888597056,4222782.06850705
2023-05-13,4348476.323399683,4083428.3839797443
2023-05-14,4883076.359103294,4579853.7241104245
2023-05-15,4997691.324565444,4696625.124631351
2023-05-16,5210464.21742441,4897707.073837111
2023-05-17,5597833.5437984755,5231191.631795515
2023-05-18,5494946.542978035,5106525.270107029
2023-05-19,4860374.265669509,4526311.43831332
2023-05-20,4494388.837452203,4215798.494573514
2023-05-21,4879210.379079031,4590633.947717085
2023-05-22,5126537.398389886,4834923.003967018
2023-05-23,5270833.494849959,5000623.699723826
2023-05-24,5577441.808031214,5252297.916200798
2023-05-25,5712175.622664903,5359999.623667918
2023-05-26,5251974.546132924,4730885.489057261
2023-05-27,4918339.21597766,4602278.004302738
2023-05-28,5831831.89676779,5497420.676919019
2023-05-29,6960807.335560759,6574155.447596112
2023-05-30,9926085.596759822,9365475.633491345
2023-05-31,10418231.716943014,9818244.094052983
2023-06-01,10830537.998993006,10260139.061398545
2023-06-02,7386379.934832223,6921742.8956431225
2023-06-03,6548183.301296664,6106695.5048433505
2023-06-04,3311300.747010761,3068688.2857649093
2023-06-05,3649353.2046844442,3494129.5265542394
2023-06-06,3829930.338503914,3535786.563604092
2023-06-07,4609767.408943547,4384277.5197548345
2023-06-08,4383628.830108608,4161391.6323731677
2023-06-09,4052572.3935998827,3831090.2799041667
2023-06-10,3990528.502626178,3736327.1656520944
2023-06-11,4502827.811554384,4264260.687581339
2023-06-12,5012357.07811669,4736542.865336783
2023-06-13,5170311.95979984,4929895.813601408
2023-06-14,5640590.584789572,5368635.688181478
2023-06-15,5234713.005116141,4902296.551920854
2023-06-16,4853195.630342035,4539403.356715169
2023-06-17,4663870.875621741,4398137.884823886
2023-06-18,4873677.246682264,4626873.003731078
2023-06-19,4928093.289310325,4667781.659714484
2023-06-20,5001766.366282335,4748162.546054177
2023-06-21,5207418.6358509725,4906854.5762775345
2023-06-22,5160470.87780929,4851955.756092463
2023-06-23,4654729.073436152,4748602.663118281
2023-06-24,4477143.058305201,4609455.268804595
2023-06-25,4689684.3617746355,4983537.946905929
2023-06-26,5125491.264298494,5511893.598526852
2023-06-27,5674284.61169549,6353009.348674111
2023-06-28,6223448.36861397,7033757.908482555
2023-06-29,7439932.822360577,8402396.243873721
2023-06-30,6085002.298487289,6985004.171739362
2023-07-01,5772128.478711349,6491867.495484897
2023-07-02,5014042.637535118,5697468.01482393
2023-07-03,4676120.68041636,5272667.686431341
2023-07-04,1652419.3296366422,1878042.8193511586
2023-07-05,1923659.3175040933,2170343.516566692
2023-07-06,2155737.4488896574,2453643.840082266
2023-07-07,2364821.5663509234,2722858.1466194987
2023-07-08,2275772.0457590143,2541181.5177099174
2023-07-09,2766986.7314365115,3108902.1547362916
2023-07-10,3160947.3410417885,3600933.40365881
2023-07-11,3484891.7686134647,3962654.513088834
2023-07-12,3689763.476575371,4151469.174925619
2023-07-13,3537281.3177174935,4027864.261524386
2023-07-14,3326930.74803802,3799314.315861745
2023-07-15,3211349.7932830458,3617617.6597322416
2023-07-16,3471499.8743212693,3944328.0840239725
2023-07-17,3727377.545286639,4175578.0874422393
2023-07-18,3885017.338437454,4332708.052575091
2023-07-19,4049451.695599485,4468696.0471530575
2023-07-20,4036409.7976425015,4185264.778387802
2023-07-21,3647343.879218037,3762555.8561895634
2023-07-22,3475603.480145839,3372116.80609716
2023-07-23,3756903.3208142146,3585168.785157666
2023-07-24,4011478.0515811527,3815277.5952882445
2023-07-25,4088317.6770453746,3838924.628090013
2023-07-26,4406733.82433593,4068033.718148226
2023-07-27,4279227.353804571,3983705.4236369836
2023-07-28,4581219.236441023,4244535.124014291
2023-07-29,4413089.572181081,3828036.075724854
2023-07-30,5008199.034866575,4328972.076494093
2023-07-31,6106702.376499753,4012677.593047165
2023-08-01,6229607.324820158,3827166.9217867106
2023-08-02,5420182.305734944,3642279.882883678
2023-08-03,5180196.413759472,3788100.373497164
2023-08-04,3344859.3468345567,2453978.31112771
2023-08-05,2346364.208541939,1758248.111211217
2023-08-06,2531042.047121246,1944489.588689718
2023-08-07,2950378.291968032,2239502.5861791265
2023-08-08,2969914.3846755084,2288832.7386379535
2023-08-09,3109282.6672549844,2201737.3743071705
2023-08-10,3124085.6592153385,2455287.3942885427
2023-08-11,2940048.9603351695,2425699.6911714952
2023-08-12,2804597.6481199595,2141320.271706957
2023-08-13,2902622.4530165554,2161513.9546753345
2023-08-14,3398712.3109928174,2590308.109438314
2023-08-15,3456312.2797286035,2731460.71723131
2023-08-16,3562295.288579125,2853636.433577062
2023-08-17,3522714.7886194694,2556074.238391485
2023-08-18,3176013.1926949583,2359454.8566366704
2023-08-19,2933353.0129400985,2212037.849430917
2023-08-20,3120345.0971395224,2573169.5583751565
2023-08-21,3331200.9868546296,2798419.1863979227
2023-08-22,3497450.409395379,2917504.2310946495
2023-08-23,3512471.610797987,2916994.3297796743
2023-08-24,3465520.364697649,2923451.0069711288
2023-08-25,3112194.1977085187,2652619.6717777364
2023-08-26,2959041.901179089,2629016.0056929286
2023-08-27,3270061.6499647154,2971190.3266941817
2023-08-28,5811779.695922538,5079066.215356629
2023-08-29,7561646.974935635,6664210.22995388
2023-08-30,7715464.682090038,7484645.950638026
2023-08-31,7764120.948059421,7721603.934989495
2023-09-01,5372136.836558002,5472377.544924539
2023-09-02,2698987.2589651207,2806937.385924258
2023-09-03,1909555.7970822388,2019160.6845610626
2023-09-04,2207991.9721657746,2218722.8126888494
2023-09-05,2523094.4585697283,2533884.9667321485
2023-09-06,2435913.040571504,2465250.583604621
2023-09-07,2641017.4384007095,2646835.362998395
2023-09-08,2657331.2492961762,2655999.3686820627
2023-09-09,2669320.6880201595,2681618.576175408
2023-09-10,2922803.722371269,2927549.526692188
2023-09-11,3255296.2214899124,3321272.2299295464
2023-09-12,3325493.894663572,3421585.5633928985
2023-09-13,3241820.827028812,3321687.394117347
2023-09-14,3119149.0363693857,3202212.470600321
2023-09-15,2894650.816367642,3005849.715364692
2023-09-16,2878498.2853034185,3010166.334020853
2023-09-17,3000316.945395019,3084541.805250596
2023-09-18,3229740.761453383,3323190.2544887904
2023-09-19,3186975.8108150186,3292479.5698540327
2023-09-20,3074983.681640109,3205866.269295423
2023-09-21,3110661.766634223,3246111.424069259
2023-09-22,2845739.4434844228,2979389.605525614
2023-09-23,2800953.6936837877,2939870.1755358903
2023-09-24,3081811.0123791075,3223323.393656303
2023-09-25,3609331.4634006075,3773174.2971963948
2023-09-26,3824941.1000286913,3987757.244887919
2023-09-27,4703290.408609683,4896077.278583756
2023-09-28,4938492.888375217,5114042.324436368
2023-09-29,4098346.4160562623,4241448.006673217
2023-09-30,3690533.7931781067,3842554.78164414
2023-10-01,2777176.4089489602,2777218.7834942755
2023-10-02,2161789.056972548,2049237.365894436
2023-10-03,1920825.8823341809,1807846.4419736948
2023-10-04,2087427.2029756848,1956771.7769467926
2023-10-05,2056174.8014727258,1917774.2008970636
2023-10-06,1948683.054066671,1809215.2224741012
2023-10-07,2099771.3801905145,1973241.0790766792
2023-10-08,2234985.624984514,2112324.365482236
2023-10-09,2465716.447404567,2316434.246480731
2023-10-10,2637866.9749326534,2484528.750253551
2023-10-11,2685227.6474956027,2541187.0113996533
2023-10-12,2595850.3844699687,2438413.7386596357
2023-10-13,2437832.2863237453,2284976.025916768
2023-10-14,2492789.5609454457,2324727.9817711236
2023-10-15,2659478.5679926584,2499912.2638294133
2023-10-16,2843447.873167986,2655584.7408419563
2023-10-17,2881720.057948279,2688282.7873168252
2023-10-18,2863080.1264041155,2705088.533584422
2023-10-19,2773904.954168429,2610166.668941819
2023-10-20,2557546.082125822,2377160.147825577
2023-10-21,2506251.4857385866,2358199.164458355
2023-10-22,2680087.7944053337,2533810.3347727656
2023-10-23,2846657.8133241683,2659112.411730093
2023-10-24,2848364.22752989,2655801.4571337784
2023-10-25,3029033.2900025966,2844674.6053854628
2023-10-26,2950583.2374059036,2770836.014545745
2023-10-27,2816748.8602501983,2638262.6741601536
2023-10-28,3810562.8419792093,3569111.014266168
2023-10-29,4445016.441223292,4132264.338065103
2023-10-30,4696756.511160072,4449824.658334495
2023-10-31,4599538.761004169,4341397.397011442
2023-11-01,3373594.2287231544,3168442.062985347
2023-11-02,2145860.5391129637,2012581.6499115473
2023-11-03,1416785.1506408923,1337707.3527516213
2023-11-04,1514301.8121929066,1419273.3325497154
2023-11-05,1808479.7852041372,1663443.4735456107
2023-11-06,1899939.1852104932,1783989.8626573274
2023-11-07,2039284.890847632,1914276.2568199164
2023-11-08,1982543.495764751,1845184.297881583
2023-11-09,2042620.0919083147,1883410.9514172678
2023-11-10,2068332.041941023,1951980.200693408
2023-11-11,2027022.8892472696,1952074.8941569778
2023-11-12,2258510.575909393,2132129.7703624484
2023-11-13,2214059.3705242486,2099601.074789012
2023-11-14,2236407.115940186,2173161.346945508
2023-11-15,2125285.75202829,2088336.1699331144
2023-11-16,2117871.191892206,2050152.2008720844
2023-11-17,1936073.42098774,1829954.7053538663
2023-11-18,1954545.1797050089,2064375.687691418
2023-11-19,1981905.1612073644,2079491.9582674839
2023-11-20,1958163.4961035918,2069506.912274272
2023-11-21,1901850.4497018303,2092145.6164256108
2023-11-22,1777535.9409519816,2006526.5575047666
2023-11-23,1702044.4766014097,1951126.2733239706
2023-11-24,1610040.4583948916,1860380.434756982
2023-11-25,1641890.3641820117,1897871.7012008931
2023-11-26,1877324.8467575964,2167224.3730739853
2023-11-27,2578102.0746735837,2943776.144263679
2023-11-28,2612051.186685929,3006438.9485069877
2023-11-29,2452606.3122428763,2832900.5325882724
2023-11-30,2281013.72262531,2651154.74142844
2023-12-01,1510764.8289865549,1737592.8007491487
2023-12-02,1092765.95086889,1268407.6640650497
2023-12-03,952029.2158074767,1083276.371371649
2023-12-04,1036342.7656568749,1181889.0739771058
2023-12-05,1130094.5011718515,1278663.2748552228
2023-12-06,1163437.2650208313,1322918.304197237
2023-12-07,1221307.2225811281,1408668.0961101493
2023-12-08,1144270.5735676852,1308892.6492828159
2023-12-09,1276175.809017443,1474091.8181085603
2023-12-10,1431332.7110079192,1650624.0570799226
2023-12-11,1606044.3329284862,1832502.0056282918
2023-12-12,1762690.2097448302,2044658.6575492166
2023-12-13,1762862.4328367482,2027207.4865861344
2023-12-14,1778812.265946045,2062838.0214849084
2023-12-15,1711791.1663203132,1991179.0595051998
2023-12-16,1762147.3098008346,2062705.9511595855
2023-12-17,1935076.5116367764,2260137.1211520666
2023-12-18,2183946.0573767642,2528090.1071001077
2023-12-19,2253908.567254522,2610730.3239692617
2023-12-20,2279369.3846054953,2647165.7611950357
2023-12-21,2225998.93961791,2555722.0693074707
2023-12-22,2092514.4931133257,2402387.134388874
2023-12-23,1872449.0755179136,2161270.946231968
2023-12-24,1793143.9542139866,2062616.720920392
2023-12-25,2014083.3942920866,2318111.142985352
2023-12-26,2081768.993560835,2394577.7589229657
2023-12-27,2223736.7286688625,2571526.392264031
2023-12-28,3635987.893709385,4203199.529015802
2023-12-29,4084924.2933329325,4747013.2545181895
2023-12-30,3708771.7125060577,4323251.012876084
2023-12-31,3553845.2595148366,4129774.4782019677
2024-01-01,2794411.583235039,3253176.9275233466
2024-01-02,1369894.6199455345,1299063.981265712
2024-01-03,1056822.795404425,989119.2668780074
2024-01-04,1157134.584788501,1141326.6927570964
2024-01-05,1303438.8249678423,1256298.5899135757
2024-01-06,1305876.4408988596,1251697.7566811333
2024-01-07,1613677.9464815091,1546968.953154936
2024-01-08,1751950.4858086514,1687055.2166521312
2024-01-09,1816954.5211179932,1737335.6907275347
2024-01-10,1828925.3349664207,1785304.0292827273
2024-01-11,1787298.5507733463,1723238.9377091855
2024-01-12,1740004.3333338508,1670460.558133741
2024-01-13,1722326.7566399681,1659877.1044770754
2024-01-14,1917933.7884707581,1841704.2514609476
2024-01-15,2031638.456400046,1956083.687989139
2024-01-16,2193512.988051775,2104509.1400757716
2024-01-17,2157492.9625446396,2083302.9317505364
2024-01-18,2083138.50883843,1999998.4043484528
2024-01-19,1985908.4995432075,1897513.891422078
2024-01-20,2003738.0367420812,1975756.1302796712
2024-01-21,2247275.715418458,2193803.706976747
2024-01-22,2497131.704598186,2399209.127733888
2024-01-23,2449979.769237308,2311447.423443482
2024-01-24,2427549.564488472,2290425.279121656
2024-01-25,2442628.754035838,2311212.819051737
2024-01-26,2495594.808630554,2366987.733880033
2024-01-27,2707642.93180525,2563957.170071441
2024-01-28,3546603.5714128437,3332572.7408202942
2024-01-29,4092449.766551766,3819348.494398221
2024-01-30,3872091.8893829575,3657568.562739774
2024-01-31,3647404.2933918172,3400409.839584447
2024-02-01,3058056.5757859806,2770612.6496263244
2024-02-02,2034955.724493252,1802094.9857725292
2024-02-03,1614242.8577456507,1411833.6159331347
2024-02-04,1867529.5060182465,1651577.1799926108
2024-02-05,2056670.9387182198,1814607.3770270366
2024-02-06,2078044.2519959966,1836163.6554981603
2024-02-07,2384173.694581622,2125359.862577144
2024-02-08,2277816.307733885,1982301.3350612405
2024-02-09,2300944.309368266,2014407.5210861848
2024-02-10,2453432.599256053,2220791.0476523167
2024-02-11,2773731.170990478,2479353.9809299177
2024-02-12,3075221.2233811687,2789002.739602153
2024-02-13,3075249.56992237,2777241.807265196
2024-02-14,3162129.005304497,2922396.243879317
2024-02-15,3032512.175178199,2761128.571567216
2024-02-16,2918381.2020489457,2651671.9711841713
2024-02-17,2920774.9787236066,2655943.000435152
2024-02-18,3101879.7557212,2754383.1619230513
2024-02-19,3469253.105171427,3110800.3016700502
2024-02-20,3611783.4919470446,3328494.2839925224
2024-02-21,3597999.7267581285,3293577.3297172184
2024-02-22,3490142.9683750663,3155755.755817862
2024-02-23,3462697.25518053,3111661.861332707
2024-02-24,3743376.9030127777,3354407.8113972987
2024-02-25,4241336.450891273,3774998.1702908785
2024-02-26,6065791.233836537,5478692.582468564
2024-02-27,5756044.058910696,5202867.481377004
2024-02-28,4925701.113026497,4621933.6417954005
2024-02-29,3721335.9342329404,3331152.2321714866
2024-03-01,1947305.5906718282,1817755.026405466
2024-03-02,1518477.2912175949,1446664.2014453188
2024-03-03,1661428.4511325452,1555828.5723959452
2024-03-04,2224680.8978582984,2107829.380864907
2024-03-05,2740485.093236002,2599651.768156723
2024-03-06,2945259.6609628946,2799881.2028746563
2024-03-07,3424494.5515863667,3247306.3190890513
2024-03-08,3240983.6847241805,3100466.962749061
2024-03-09,3290844.127514067,3161853.0175568904
2024-03-10,3772312.409606956,3611839.703463983
2024-03-11,4253664.180879195,4123395.0445238478
2024-03-12,4591614.0528636575,4440114.023091024
2024-03-13,4926405.2627316965,4782632.794703308
2024-03-14,4980753.7829,4846259.893482791
2024-03-15,4543882.6184552545,4387642.843071509
2024-03-16,4620822.971307958,4417765.66670465
2024-03-17,5095556.884002144,4800374.676302574
2024-03-18,5361105.901790904,5328976.375271061
2024-03-19,5165814.308144261,5194604.436846138
2024-03-20,5453083.693354419,5681027.415733845
2024-03-21,5290001.390206368,5510383.525537476
2024-03-22,4831564.754518051,5079093.463493119
2024-03-23,4752556.7441412285,5046953.128524271
2024-03-24,4939159.19334698,5254647.592645181
2024-03-25,5480518.562359549,5846458.616855657
2024-03-26,5765185.375398235,6149279.379122713
2024-03-27,6062582.745052354,6456808.982336712
2024-03-28,6336877.840745492,6742406.819585878
2024-03-29,7980114.615674147,8488385.504911367
2024-03-30,9410380.2329234,9991744.949902473
2024-03-31,9640041.361210302,10352275.807626938
2024-04-01,10271415.727456331,10829482.407116676
2024-04-02,7285515.694160637,7727115.718886759
2024-04-03,5478095.8969529215,5883663.674216348
2024-04-04,3097363.239084104,3338389.884506187
2024-04-05,3000815.784271966,3224355.174224282
2024-04-06,2914033.466212818,3106593.838934636
2024-04-07,3606098.8134280327,3853261.8257905357
2024-04-08,4038435.1840850567,4273508.848473658
2024-04-09,4340812.2326964,4625263.368826812
2024-04-10,4636344.79649481,4896729.605317197
2024-04-11,4665239.7901223255,4936574.795633097
2024-04-12,4376188.83640504,4614468.741771923
2024-04-13,4489310.766352839,4626180.224249185
2024-04-14,5054458.0520777125,5252043.487559439
2024-04-15,5388295.841010364,5515423.935174066
2024-04-16,5601848.60412514,5743553.784845884
2024-04-17,5856026.32794321,5683988.432972205
2024-04-18,5455304.022028035,5166545.019476223
2024-04-19,4934658.808550444,4596177.285282813
2024-04-20,4993828.306681809,4711937.335101183
2024-04-21,5415360.725827811,5137953.414737886
2024-04-22,5889014.479983393,5528626.39999719
2024-04-23,6028528.472356169,5674887.0746818995
2024-04-24,6273760.4650693275,5898911.302250862
2024-04-25,6120047.800442147,5744667.627802828
2024-04-26,5615493.8617851585,5295485.347786923
2024-04-27,6316199.278234087,5920462.192339
2024-04-28,8836661.467136974,8352589.509457851
2024-04-29,10234406.753285395,9820989.142554577
2024-04-30,9809105.882024918,9435967.792596027
2024-05-01,9751903.979351796,9251508.150227467
2024-05-02,7135464.438199649,6813149.764819778
2024-05-03,4922817.7729604915,4654011.307025974
2024-05-04,2773385.3816878516,2582335.119662112
2024-05-05,3313635.7157306857,3115449.688150764
2024-05-06,3543058.240435876,3267609.0104940026
2024-05-07,4253666.151610994,3994295.0195671977
2024-05-08,4409576.159065998,4136715.812362216
2024-05-09,4534376.147876528,4242035.492399604
2024-05-10,4370675.103255069,4108369.8094905764
2024-05-11,4382887.452176683,4103751.326317643
2024-05-12,4904386.0592633905,4539818.403263218
2024-05-13,5109149.999437758,4813660.984771547
2024-05-14,5519853.071117923,5224471.831434291
2024-05-15,5909615.844472015,5611608.725048519
2024-05-16,5910462.523394721,5587268.890541763
2024-05-17,5317257.636868353,4974460.249172276
2024-05-18,4937424.374223655,4637544.358547671
2024-05-19,5256476.944621565,4919326.666314274
2024-05-20,5401214.298342099,5078587.490988324
2024-05-21,5631671.572978063,5281909.039864419
2024-05-22,6049133.2665039785,5729694.299953341
2024-05-23,5818890.703375654,5477863.621693072
2024-05-24,5372616.784083664,5020650.779295895
2024-05-25,5091625.474972618,4515719.046649539
2024-05-26,5415993.967508767,5088875.164230023
2024-05-27,5991241.415466397,5659686.087181836
2024-05-28,6997518.556630799,6607600.304411297
2024-05-29,9181839.083944451,8637713.857360141
2024-05-30,11527804.597128714,10819480.125861758
2024-05-31,9894558.141704325,9213088.209896035
2024-06-01,10440085.513598982,9893127.350767922
2024-06-02,7750316.028768557,7251245.415677363
2024-06-03,6018405.951329388,5578455.594407376
2024-06-04,3801338.8299630433,3590662.8063962627
2024-06-05,4335584.42103798,4106398.692932977
2024-06-06,4068803.038220023,3757899.928619123
2024-06-07,4174292.8465801305,3958404.88255523
2024-06-08,4175313.587534085,3949591.912496867
2024-06-09,4481759.099536573,4203670.635926472
2024-06-10,4948959.465468521,4665348.4135329565
2024-06-11,5451008.41642248,5166479.017160516
2024-06-12,5811593.850275271,5508134.005946633
2024-06-13,5421821.944291457,5171256.035478327
2024-06-14,5182385.860272195,4884117.202311507
2024-06-15,5065647.842109145,4762948.948892662
2024-06-16,5422490.395778695,5134526.598586482
2024-06-17,5568176.4326745905,5273450.431787188
2024-06-18,5727236.8586931275,5377042.46591722
2024-06-19,5781202.375249585,5510862.416483906
2024-06-20,5308885.290342316,5001144.932199202
2024-06-21,4932227.177151868,4704421.6724633835
2024-06-22,4667001.7174133435,4362252.7723010555
2024-06-23,4993531.245372369,5165728.04399206
2024-06-24,5298288.990668615,5563869.473262502
2024-06-25,5568685.860468358,5991926.303771891
2024-06-26,5666286.024855485,6398648.068046479
2024-06-27,5950060.495587291,6744767.713415907
2024-06-28,6240457.617484655,7123844.424377479
2024-06-29,6448265.718495807,7475871.8140025595
2024-06-30,6278545.863447033,7283897.790498383
2024-07-01,6683742.427200837,7521729.132935897
